area,district
Area1,Portland
Area1,Heywood
Area1,Port Fairy
Area2,Allansford
Area2,Noorat
Area2,Glenormiston
Area2,Camperdown
Area2,Cobden
Area2,Koroit
Area2,Lismore
Area2,Derrinallum
Area2,Mortlake
Area2,Purnim
Area2,Simpson
Area2,Terang
Area2,Warrnambool
Area3,Balmoral
Area3,Caramut
Area3,Cavendish
Area3,Dunkeld
Area3,Glenthompson
Area3,Hamilton
Area3,Penshurst
Area3,Tarrington
Area4,Peterborough
Area4,Port Campbell
Area4,Timboon
Area5,Dartmoor
Area5,Casterton
Area5,Coleraine
Area5,Macarthur
Area5,Merino
Area5,Sandford
