fk_financial_year,month,pk_porg,pk_acount,pension_type_desc,pk_account,amt_debit,town
202425,3,68406,30023715,Social Security,30023715,16.86,Portland
202425,3,63697,30023720,Social Security,30023720,23.12,Portland
202425,3,152782,30023740,Health Card,30023740,22.86,Portland
202425,3,152782,30023740,Health Card,30023740,157.17,Portland
202425,3,159360,30023765,Social Security,30023765,158.62,Portland
202425,3,65718,30023803,Health Card,30023803,22.6,Portland
202425,3,166086,30117494,Health Card,30117494,67.13,Portland
202425,3,70976,30023809,Social Security,30023809,79.94,Portland
202425,3,138572,30114560,Health Card,30114560,0,Portland
202425,3,90085,30023819,Health Card,30023819,23.12,Portland
202425,3,105763,30023846,Social Security,30023846,155.13,Portland
202425,3,65753,30023854,Social Security,30023854,148.32,Portland
202425,3,140359,30023857,Health Card,30023857,22.7,Portland
202425,3,129841,30023859,Social Security,30023859,155.13,Portland
202425,3,107164,30105684,Social Security,30105684,0,Portland
202425,3,68518,30023928,Social Security,30023928,85.31,Portland
202425,3,68518,30023928,Social Security,30023928,156.87,Portland
202425,3,64491,30023942,Health Card,30023942,158.62,Portland
202425,3,65812,30023945,Social Security,30023945,41,Portland
202425,3,65812,30023945,Social Security,30023945,156.87,Portland
202425,3,65829,30023965,Social Security,30023965,148.81,Portland
202425,3,64009,30023968,Social Security,30023968,23.63,Portland
202425,3,64009,30023968,Social Security,30023968,17.7,Portland
202425,3,158583,30024011,Social Security,30024011,23.63,Portland
202425,3,65901,30024048,Social Security,30024048,23.63,Portland
202425,3,65901,30024048,Social Security,30024048,158.62,Portland
202425,3,102145,30024058,Veteran,30024058,152.19,Portland
202425,3,68121,30024073,Social Security,30024073,152.19,Portland
202425,3,70198,30075137,Social Security,30075137,25.7,Portland
202425,3,65971,30024148,Health Card,30024148,95.2,Portland
202425,3,65971,30024148,Health Card,30024148,3.65,Portland
202425,3,65031,30024174,Health Card,30024174,23.63,Portland
202425,3,65031,30024174,Health Card,30024174,35.71,Portland
202425,3,103785,30024184,Social Security,30024184,23.63,Portland
202425,3,152065,30024186,Social Security,30024186,158.62,Portland
202425,3,66007,30024206,Social Security,30024206,22.86,Portland
202425,3,66007,30024206,Social Security,30024206,17.7,Portland
202425,3,151080,30024221,Social Security,30024221,0,Portland
202425,3,75264,30024234,Social Security,30024234,39.8,Portland
202425,3,66025,30024237,Health Card,30024237,140.08,Portland
202425,3,70347,30024244,Social Security,30024244,63.7,Portland
202425,3,74945,30024257,Health Card,30024257,100.01,Portland
202425,3,66057,30024274,Social Security,30024274,22.86,Portland
202425,3,75763,30024278,Social Security,30024278,0,Portland
202425,3,74716,30024425,Health Card,30024425,163.84,Portland
202425,3,94553,30024479,Social Security,30024479,0,Portland
202425,3,66206,30024486,Social Security,30024486,23.12,Portland
202425,3,66206,30024486,Social Security,30024486,37.87,Portland
202425,3,66206,30024486,Social Security,30024486,155.13,Portland
202425,3,132872,30024490,Health Card,30024490,11.8,Portland
202425,3,132872,30024490,Health Card,30024490,145.79,Portland
202425,3,122,10000021,Veteran,10000021,0,Warrnambool
202425,3,158218,10000028,Social Security,10000028,24.41,Warrnambool
202425,3,126697,30073109,Social Security,30073109,17.7,Warrnambool
202425,3,113001,30010072,Social Security,30010072,0,Warrnambool
202425,3,99033,30082641,Health Card,30082641,0,Warrnambool
202425,3,158218,10000028,Social Security,10000028,62.14,Warrnambool
202425,3,158218,10000028,Social Security,10000028,163.84,Warrnambool
202425,3,27733,30088690,Social Security,30088690,0,Warrnambool
202425,3,152050,30100698,Health Card,30100698,0,Warrnambool
202425,3,51255,30009873,Health Card,30009873,0,Warrnambool
202425,3,51094,30099033,Social Security,30099033,0,Warrnambool
202425,3,27662,30084683,Social Security,30084683,3.37,Warrnambool
202425,3,151828,30110449,Health Card,30110449,2.53,Warrnambool
202425,3,47547,10000112,Health Card,10000112,208.99,Warrnambool
202425,3,111589,30057809,Social Security,30057809,0.89,Warrnambool
202425,3,89739,30095907,Health Card,30095907,0,Warrnambool
202425,3,76426,30079544,Social Security,30079544,0,Warrnambool
202425,3,43027,30076261,Social Security,30076261,116.55,Warrnambool
202425,3,27593,30108395,Social Security,30108395,44.81,Warrnambool
202425,3,151348,10000110,Social Security,10000110,0,Warrnambool
202425,3,43955,30075154,Social Security,30075154,3.37,Warrnambool
202425,3,282,10000181,Social Security,10000181,44.41,Warrnambool
202425,3,51980,30001086,Social Security,30001086,0,Warrnambool
202425,3,165959,30013053,Health Card,30013053,0,Warrnambool
202425,3,123636,30106361,Health Card,30106361,0,Warrnambool
202425,3,252,10000151,Social Security,10000151,0,Warrnambool
202425,3,49174,10000160,Social Security,10000160,0,Warrnambool
202425,3,120824,30104523,Social Security,30104523,262.67,Warrnambool
202425,3,282,10000181,Social Security,10000181,75,Warrnambool
202425,3,282,10000181,Social Security,10000181,182.91,Warrnambool
202425,3,52324,10000190,Social Security,10000190,0,Warrnambool
202425,3,115746,30114578,Social Security,30114578,120.46,Warrnambool
202425,3,26638,10000196,Social Security,10000196,0,Warrnambool
202425,3,133381,30120194,Health Card,30120194,97.2,Warrnambool
202425,3,132212,10000256,Social Security,10000256,0,Warrnambool
202425,3,41203,10000268,Social Security,10000268,0,Dennington
202425,3,103378,10000284,Social Security,10000284,0,Warrnambool
202425,3,32123,10000302,Social Security,10000302,41.02,Warrnambool
202425,3,42305,10000306,Social Security,10000306,0,Warrnambool
202425,3,10164,10000367,Social Security,10000367,0,Warrnambool
202425,3,322,10000221,Social Security,10000221,25.36,Warrnambool
202425,3,32123,10000302,Social Security,10000302,158.62,Warrnambool
202425,3,417,10000316,Social Security,10000316,0,Warrnambool
202425,3,2118,10000477,Social Security,10000477,11.73,Warrnambool
202425,3,12073,10000517,Social Security,10000517,24.15,Dennington
202425,3,32170,10000448,Social Security,10000448,0,Warrnambool
202425,3,52588,10000502,Health Card,10000502,0,Warrnambool
202425,3,684,10000583,Social Security,10000583,23.89,Warrnambool
202425,3,12073,10000517,Social Security,10000517,1031.95,Dennington
202425,3,619,10000518,Social Security,10000518,1.12,Dennington
202425,3,124704,10000578,Social Security,10000578,214.24,Warrnambool
202425,3,684,10000583,Social Security,10000583,9.27,Warrnambool
202425,3,690,10000589,Social Security,10000589,21.94,Warrnambool
202425,3,690,10000589,Social Security,10000589,185.26,Warrnambool
202425,3,32272,10000643,Health Card,10000643,23.89,Warrnambool
202425,3,32272,10000643,Health Card,10000643,17.7,Warrnambool
202425,3,32272,10000643,Health Card,10000643,156.22,Warrnambool
202425,3,26261,30001261,Social Security,30001261,18.54,Warrnambool
202425,3,120688,30070662,Health Card,30070662,0,Dennington
202425,3,829,10000728,Social Security,10000728,23.89,Warrnambool
202425,3,829,10000728,Social Security,10000728,73.73,Warrnambool
202425,3,829,10000728,Social Security,10000728,160.22,Warrnambool
202425,3,19733,10000731,Social Security,10000731,21.07,Warrnambool
202425,3,149372,10000738,Social Security,10000738,0,Warrnambool
202425,3,26358,30042926,Health Card,30042926,0,Warrnambool
202425,3,32314,10000740,Social Security,10000740,24.41,Warrnambool
202425,3,32314,10000740,Social Security,10000740,163.84,Warrnambool
202425,3,867,10000766,Health Card,10000766,141.56,Warrnambool
202425,3,867,10000766,Health Card,10000766,165.59,Warrnambool
202425,3,50917,30119301,Social Security,30119301,125.56,Warrnambool
202425,3,32314,10000740,Social Security,10000740,34.99,Warrnambool
202425,3,867,10000766,Health Card,10000766,24.67,Warrnambool
202425,3,900,10000799,Social Security,10000799,32.34,Warrnambool
202425,3,140844,10000774,Health Card,10000774,0,Warrnambool
202425,3,123391,30069424,Social Security,30069424,0,Warrnambool
202425,3,128714,30075158,Social Security,30075158,3.37,Warrnambool
202425,3,32370,10000834,Health Card,10000834,0,Dennington
202425,3,1005,10000904,Health Card,10000904,0,Warrnambool
202425,3,900,10000799,Social Security,10000799,17.08,Warrnambool
202425,3,53968,10000860,Social Security,10000860,0,Warrnambool
202425,3,44138,10000862,Health Card,10000862,0,Warrnambool
202425,3,970,10000869,Social Security,10000869,0,Warrnambool
202425,3,32410,10000898,Social Security,10000898,0,Warrnambool
202425,3,32417,10000907,Social Security,10000907,0,Warrnambool
202425,3,149196,30097377,Social Security,30097377,0,Warrnambool
202425,3,147786,10000929,Social Security,10000929,0,Warrnambool
202425,3,42660,10000931,Health Card,10000931,0,Warrnambool
202425,3,138931,30098668,Social Security,30098668,88.6,Warrnambool
202425,3,1061,10000960,Veteran,10000960,24.67,Warrnambool
202425,3,1061,10000960,Veteran,10000960,56.34,Warrnambool
202425,3,157399,10001012,Social Security,10001012,0,Warrnambool
202425,3,162838,30116057,Health Card,30116057,282.48,Warrnambool
202425,3,26234,30054651,Social Security,30054651,0,Warrnambool
202425,3,43837,30005131,Health Card,30005131,53.14,Warrnambool
202425,3,116835,30094494,Social Security,30094494,0,Warrnambool
202425,3,105386,30097800,Social Security,30097800,0,Warrnambool
202425,3,34780,30093132,Social Security,30093132,0,Warrnambool
202425,3,96737,10001091,NULL,10001091,140.58,Warrnambool
202425,3,4595,10001016,Social Security,10001016,0,Warrnambool
202425,3,52872,30107769,Social Security,30107769,0,Warrnambool
202425,3,117456,30083373,Social Security,30083373,0,Warrnambool
