fk_financial_year,month,pk_porg,pk_account,pension_type_desc,amt_debit
201718,12,121488,30084795,Social Security,0.95
201920,12,55628,30059774,Social Security,0
202122,12,124737,30099129,Social Security,74.9
201920,12,73972,30088800,Social Security,178.91
201718,12,2704,10003327,Social Security,171.72
202021,12,67863,30098072,Social Security,0
202021,12,94966,30085494,Health Card,15.32
202021,12,81817,30034720,Social Security,0
201920,12,72847,30029507,Social Security,0
202021,12,60540,30017878,Health Card,0
202122,12,88126,30038707,Social Security,160.75
202122,12,136412,30083160,Social Security,0
202223,12,16000,10015899,Social Security,0
201718,12,114599,30038006,Social Security,0
201819,12,18171,10018311,Social Security,479.09
201920,12,145878,30027969,Social Security,0
202021,12,85377,30035935,Social Security,165.51
202223,12,27815,10011481,Social Security,0
202021,12,152229,30048030,Social Security,0
201718,12,102438,30083613,Social Security,0
201718,12,118890,30044567,Health Card,149.33
202324,12,96569,30005577,Health Card,556.48
201718,12,88506,30039088,Social Security,230.21
202324,12,153144,10007380,Social Security,182.52
202223,12,73029,30027918,Social Security,0
202324,12,51815,10014626,Health Card,0
201718,12,4047,10003946,Social Security,0
201920,12,80003,30036018,NULL,1198.7
201920,12,139668,30052083,Social Security,168.8
202223,12,89454,30040036,Social Security,13.15
201819,12,93687,30021476,Health Card,0
201718,12,94660,30049540,Social Security,0
201819,12,47948,30055123,Social Security,37.97
202021,12,122187,30095812,Health Card,0
202021,12,117027,30092727,Social Security,0
202425,12,146192,30093820,Social Security,0
201920,12,69865,30026837,Health Card,0
201920,12,116759,30038930,Social Security,97.14
201920,12,87704,30038283,Veteran,165.66
202122,12,94933,30007840,Social Security,0
201819,12,121874,30066466,Social Security,209.36
201920,12,101666,30068778,Social Security,0
202021,12,149196,30097377,Social Security,695.99
201718,12,123181,30069186,Social Security,0
202223,12,129239,30091819,Health Card,1.05
201819,12,124852,30025451,Social Security,0
202223,12,151767,30106167,Social Security,2.68
201718,12,70157,30027372,Social Security,0
201920,12,30281,10018046,Social Security,169.4
202425,12,111326,10013200,Social Security,86.13
202021,12,89594,30063616,Social Security,0
202223,12,90237,30051243,Health Card,0
202021,12,141010,30090435,Health Card,527.7
202425,12,19307,10019206,Social Security,0
201718,12,108415,30085609,Social Security,98.62
202425,12,60688,10014237,Health Card,0
201920,12,125584,30072337,Social Security,0
202425,12,131390,30110901,Health Card,45.89
202324,12,88291,30038873,Social Security,37.87
201819,12,45226,10017874,Social Security,202.9
202324,12,102219,30116059,Social Security,0
202324,12,101465,30102348,Social Security,39.33
201920,12,136925,30039018,Social Security,113.01
201920,12,25052,30000052,Social Security,0
202425,12,148236,30097650,Social Security,6.75
202324,12,137490,30039412,Health Card,49.5
201819,12,85069,30035627,Health Card,0
201920,12,135816,30048715,Social Security,235.63
202425,12,151710,30026601,Social Security,0
201920,12,18178,10018077,Social Security,0
201819,12,7893,10006053,Social Security,0
202223,12,108924,30106670,Social Security,54.24
202425,12,105791,30088331,Social Security,21.27
202122,12,129464,30091870,Social Security,24.46
201819,12,35034,30092903,Social Security,0.59
202122,12,26780,30089363,Health Card,42.23
202223,12,135534,10019202,Health Card,0
202223,12,68525,30022714,Social Security,0
202324,12,15967,10015866,NULL,3.7
202324,12,88828,30066006,Social Security,0
202021,12,100788,30025420,Social Security,0
202425,12,116539,30092811,Social Security,0
202425,12,87018,30037597,NULL,286.46
202021,12,87706,30038285,Social Security,0
202324,12,144396,30038316,Social Security,215.31
201819,12,25995,30014951,Social Security,72.49
201819,12,86320,30036887,Social Security,611.23
202425,12,103964,30057039,Social Security,0
202324,12,31737,10017397,Social Security,31.72
201920,12,94469,30034733,Social Security,62.93
202324,12,54795,10004195,Health Card,0
202324,12,105810,30028866,Social Security,213.98
202425,12,29062,10021538,Social Security,0
201718,12,125643,30083654,Social Security,0
201819,12,87887,30038468,Social Security,211.4
202425,12,148222,30025621,Social Security,0
201920,12,64794,30021802,Health Card,0
202425,12,85470,30036028,NULL,348.25
201718,12,92786,10006358,Health Card,0
202223,12,149415,30034023,Social Security,166.33
202021,12,25334,30000334,Social Security,0
202223,12,160006,30109533,Health Card,87.71
202021,12,140967,30038066,Health Card,176.12
202122,12,35397,10004582,Social Security,0
202223,12,153719,30079168,Social Security,0
201920,12,112866,30087195,Social Security,13.08
201819,12,39891,10022247,Health Card,0
202425,12,26101,30001037,Health Card,0
202223,12,16209,10015493,Social Security,160.59
202223,12,84148,30034615,Social Security,135.62
202425,12,6006,10005905,Social Security,187.53
202425,12,146868,30037355,Social Security,216.29
201920,12,88767,30039349,NULL,656.76
202223,12,52607,30072349,Health Card,0
202324,12,147750,30026858,Social Security,65.21
201920,12,138234,30088824,Social Security,0
202324,12,129143,30115952,Social Security,7.18
202223,12,28013,30104886,Social Security,25.9
202324,12,155609,10014974,Health Card,0
202324,12,86610,30037185,Social Security,0
202425,12,132315,30056342,Social Security,165.15
201920,12,70976,30023809,Social Security,204.76
201920,12,127968,10017051,Social Security,219.52
202122,12,113823,10021202,Health Card,187.32
202223,12,120795,30075624,Social Security,11.69
202425,12,108665,30030918,Social Security,0
201718,12,85396,30035954,Health Card,146.16
202021,12,137707,30034068,Social Security,0
202122,12,32506,10001126,Health Card,0
202223,12,86274,30036841,Social Security,25.11
202021,12,96234,30092992,Health Card,28.03
202021,12,133124,30042322,Health Card,197.7
202122,12,103432,30066057,Social Security,0
202425,12,136244,30103212,Health Card,66.05
201718,12,3224,10003123,Social Security,172.15
201718,12,81555,30031867,Social Security,230.68
201920,12,26461,30060175,Social Security,0
202021,12,69969,30083087,Social Security,0
202425,12,25173,30083583,Social Security,10.96
202425,12,17427,10015030,Social Security,0
202324,12,160984,30111086,Social Security,0
202425,12,118765,30099687,Health Card,193.68
202223,12,145987,30036292,Social Security,30.1
201819,12,67475,30026248,Health Card,0
202223,12,160940,30110725,Social Security,8.77
202021,12,64516,30022487,Social Security,0
201718,12,29799,10020663,Social Security,0
201718,12,124708,30071017,Social Security,0
202223,12,150734,10004078,Health Card,0
202223,12,124850,30028888,Social Security,0
201920,12,51094,30012620,Social Security,0
201920,12,86674,30037249,Social Security,195.85
201819,12,60234,30017445,Social Security,0
201920,12,148709,30096690,Health Card,1.44
202223,12,158806,30108256,Health Card,40.47
201819,12,135888,30089610,Social Security,0
201819,12,131296,30079673,Health Card,6.8
201920,12,126145,10018742,Social Security,0
202324,12,135305,30036249,Health Card,53.89
201920,12,80003,30032103,NULL,3321.16
201718,12,96553,30066465,Social Security,5.17
202425,12,52404,30114879,Health Card,0
201718,12,97736,30087361,Social Security,0
201819,12,70263,30083307,Social Security,1.24
202324,12,136944,30038117,Social Security,215.31
201819,12,86164,30036731,NULL,20.2
201920,12,48479,10006755,Social Security,0
201920,12,82005,30093236,Social Security,0
202122,12,90121,30031197,Health Card,14.8
202324,12,136284,30083091,Health Card,0
202425,12,63253,30021006,Social Security,0
201920,12,66484,30026418,Health Card,0
202324,12,98510,10016201,Social Security,0
201819,12,70305,30028879,Health Card,0
202122,12,139349,30036924,Social Security,193.91
202425,12,121243,30117609,Health Card,0
202223,12,155916,30105050,Social Security,0.76
202425,12,123099,30025439,Social Security,201.98
202122,12,82442,30032807,Social Security,0
202223,12,29354,10015673,Social Security,0
201819,12,113074,30058992,Health Card,29.23
202223,12,39528,30100783,Social Security,0
202324,12,151674,30104072,Health Card,0.24
201718,12,137574,30034570,Health Card,0
202223,12,10164,10000367,Social Security,0
201920,12,97251,30045016,Health Card,0
202021,12,109717,30036489,Social Security,0
202223,12,148817,30107661,Social Security,0
202122,12,4874,30005489,Social Security,228.55
202223,12,139453,30093750,Social Security,0
202223,12,74170,30081648,Social Security,0
202425,12,105878,30115441,Social Security,480.1
202425,12,124055,30070169,Social Security,0
202425,12,107519,30037536,Health Card,268.55
202021,12,44804,30080549,Social Security,0
202223,12,158956,30108348,Health Card,64.69
201718,12,81639,30031951,Social Security,0
201819,12,106234,30068500,Social Security,0
202425,12,148076,30079041,Social Security,0
201718,12,114667,30085222,Social Security,0
201718,12,90151,30036510,Health Card,0
202021,12,38283,10014430,Social Security,2.52
202223,12,68134,30027150,NULL,0
202324,12,27504,30002504,Social Security,0
202223,12,115855,10019204,Social Security,0
201819,12,97447,30057675,Health Card,101
202122,12,140364,10006328,Social Security,0
202425,12,93215,30037784,Social Security,223.64
202122,12,48220,30085634,Social Security,0
202425,12,38838,10017942,Health Card,0
202324,12,133480,30029628,Social Security,0
201718,12,134691,30088468,Health Card,17.63
202122,12,80728,30031033,Social Security,0
202223,12,63692,30029802,Health Card,0
202425,12,137655,30036893,Social Security,0
201819,12,100924,30090843,Health Card,0
202122,12,74417,30025074,Social Security,0
202122,12,86331,30036898,NULL,164.74
202122,12,87726,30038305,Social Security,193.12
202122,12,91359,30040073,Social Security,0
202324,12,147227,30094909,Social Security,84.82
202021,12,2450,10002349,Health Card,0
202425,12,155408,10018726,Social Security,15.31
202324,12,131501,30077989,Social Security,0
201920,12,103879,30037281,Social Security,209.58
202122,12,142857,30089906,Social Security,0
202324,12,142869,30034921,Health Card,0
201819,12,115678,30091343,Social Security,13.79
202223,12,43009,30108735,Health Card,0
202425,12,111499,30116910,Health Card,0
201819,12,141438,30088453,Social Security,4.82
201920,12,27647,30002647,Social Security,0
202021,12,91229,30034961,Social Security,0
202122,12,91420,30031769,Social Security,0
201718,12,110002,30063672,Social Security,0
202021,12,49005,10015383,Health Card,0
202021,12,7618,10007517,Social Security,0
202223,12,76659,10002486,Social Security,0
202425,12,136920,30037077,Social Security,211.92
201718,12,17275,10017174,Social Security,0
202021,12,99180,30046682,Social Security,0
202122,12,130767,30101114,Health Card,399.77
201718,12,119558,30086744,Health Card,817.15
202021,12,112337,30085800,Health Card,0
202122,12,134626,30096477,Social Security,6.73
202122,12,83413,30034634,Social Security,0
201718,12,138931,30085864,Social Security,9.69
201920,12,67353,30026046,Social Security,0
201920,12,148070,30095903,Health Card,0
202324,12,138831,30023596,Health Card,179.33
201819,12,109415,30055469,Social Security,74.39
201819,12,144679,30033909,Social Security,0
202223,12,94674,30052627,Social Security,78.78
201819,12,133120,30084854,Social Security,19.17
202122,12,101626,30105930,Social Security,0
202223,12,88361,30038943,NULL,15.14
201718,12,70369,30072261,Social Security,0
202021,12,22436,10022335,Social Security,0
202425,12,25021,30000021,Health Card,44.46
201718,12,87230,30037809,Social Security,186.71
202223,12,34118,10004819,Health Card,0
202223,12,51741,10009576,Health Card,206.96
201718,12,108698,30062856,Social Security,37.75
201718,12,88438,30039020,Social Security,30.15
201819,12,142073,30088954,Social Security,0
201819,12,132077,30037984,Social Security,100.3
201718,12,103927,30081361,Social Security,17.75
202021,12,83377,30033794,Health Card,0
202021,12,129594,10016972,Social Security,0
202021,12,12649,10012548,Social Security,0
201819,12,61284,30018856,Social Security,0
202021,12,128498,30081748,Health Card,0
202122,12,148440,30096449,Health Card,0
202324,12,115002,30036506,Social Security,0
201819,12,136837,30032885,Social Security,0
201920,12,96376,30047410,Health Card,50.54
202223,12,139970,30107377,Social Security,113.08
202223,12,91410,30035951,Social Security,0
202021,12,136965,10022270,Social Security,0
202223,12,106205,30053118,Health Card,39.31
201920,12,73047,30047749,Social Security,7.41
202324,12,39786,10021960,Social Security,0
202324,12,51979,30013314,Social Security,6.64
201819,12,85778,30036345,Social Security,10.75
201920,12,75364,30029968,Social Security,0
201718,12,125589,30087339,Health Card,0
202122,12,99463,30046815,Social Security,0
202021,12,27487,30065498,Social Security,0
202324,12,88128,30038709,Social Security,195.67
201819,12,87997,30038578,Social Security,189.81
202021,12,117645,30046466,Health Card,0
202122,12,142200,30037431,Social Security,0
202324,12,18572,10018471,Health Card,164.89
201920,12,148586,30096536,Health Card,0
201920,12,86414,30036987,Social Security,287.56
202425,12,34440,10005547,Health Card,0
201718,12,115117,30060962,Health Card,0
201819,12,27544,30067093,Social Security,0
201819,12,25564,30000564,Social Security,0
202122,12,49407,10007031,Social Security,176.68
202425,12,14155,10014054,Social Security,121.14
202324,12,130600,30114911,Social Security,4.92
202324,12,60334,30025837,Health Card,0
202223,12,155528,30104435,Social Security,16.07
201920,12,85998,30036565,Social Security,2678.31
202021,12,89635,30040217,Social Security,1.86
201718,12,43822,30015713,Social Security,0
202021,12,108234,30006024,Social Security,0
202324,12,92993,30032659,Social Security,193.77
201718,12,45873,30082604,Social Security,0
202223,12,3248,10003147,Health Card,160.41
201718,12,136949,30085980,Social Security,0
201819,12,85413,30035971,Social Security,172.73
201819,12,81247,30031558,Social Security,181.88
202122,12,83094,30098206,Social Security,15.31
201819,12,111493,30074973,Social Security,0
202425,12,133206,30035136,Social Security,0
202425,12,106594,30072663,Social Security,0.84
202425,12,80668,30030973,NULL,0
201920,12,135203,30097512,Social Security,98.86
201920,12,144860,30092380,Social Security,2.13
201718,12,110208,30056118,Social Security,0
201718,12,92794,30032162,Health Card,503.18
202122,12,38640,10012588,Social Security,168.94
202324,12,116553,30078794,Health Card,0
201819,12,136807,30084399,Social Security,0
202021,12,15935,10021086,Social Security,0
202223,12,86836,30059199,Social Security,0
201718,12,19993,10020460,Health Card,201.37
201718,12,71337,30023199,Social Security,15.11
201819,12,52515,30070491,Social Security,0
201920,12,48757,30087564,Social Security,0
202021,12,85999,30036566,Social Security,27.34
201718,12,71289,30027644,Social Security,0
202223,12,113042,30070474,Social Security,46.35
201920,12,119809,30065418,Social Security,0
202425,12,158974,30108364,Social Security,0
202021,12,7710,10007609,Social Security,0
202021,12,124073,30072758,Social Security,0
202021,12,100342,30040963,Health Card,0
202324,12,35905,30075437,Social Security,0
202324,12,152659,30034581,Social Security,475.58
201920,12,97412,30036915,Social Security,46.52
202324,12,90552,10004496,Social Security,71.27
201819,12,49266,30074454,Social Security,0
201819,12,125425,30036326,Social Security,74.8
201718,12,10579,10010478,Veteran,156.37
201718,12,978,10000877,Social Security,0
202324,12,32378,10000850,Social Security,0
202425,12,85308,30035866,Social Security,118.24
201920,12,106842,30053853,Social Security,0
202425,12,87280,30037859,Veteran,209.72
202425,12,152051,30100696,Social Security,44.52
201819,12,85515,30036073,Social Security,197.83
201819,12,118730,30092463,Social Security,32.78
202021,12,7759,10007658,Social Security,151.15
202425,12,123977,30038284,Social Security,210.83
202425,12,136574,30083283,Social Security,0
201920,12,97061,30044917,Social Security,8.05
202324,12,103964,30057039,Social Security,0
202223,12,50107,10010911,Social Security,306.61
201920,12,17950,10017849,NULL,4.49
202021,12,43486,10012279,Social Security,12.54
202324,12,164217,30114854,Social Security,21.53
202223,12,76360,30060739,Social Security,5.23
201718,12,74907,30061124,Social Security,0
201819,12,70269,30028546,Health Card,0
201920,12,89570,30070971,Social Security,4.85
202425,12,38894,10002995,Social Security,183.94
201819,12,123365,30081121,Social Security,0
201718,12,104825,30085666,Social Security,280.07
201819,12,119078,30082307,Social Security,0
202324,12,25945,30000945,Social Security,0
201718,12,111727,30075799,Social Security,0
202122,12,142141,30025573,Social Security,0
201920,12,39537,30046389,Social Security,0
202223,12,132255,30078767,Social Security,0
202223,12,13227,30100213,Social Security,0
201920,12,19920,30019976,NULL,0
202425,12,135021,30081807,Health Card,0
201920,12,61946,30019623,Social Security,0
202021,12,107639,30036661,Health Card,1583.99
201819,12,52609,30077955,Social Security,0
202021,12,85436,30035994,NULL,183.92
202223,12,141135,30088253,Social Security,0
202324,12,21384,10021283,Social Security,0
202425,12,31737,10017397,Social Security,112.95
201920,12,129233,30089258,Social Security,0
201819,12,26080,30092674,Social Security,54.81
202425,12,150623,30036968,Social Security,0
201819,12,65817,30071023,Social Security,0
201819,12,119655,30092668,Social Security,0
201819,12,54147,30077396,Social Security,0
202425,12,47892,10015313,Social Security,15.17
201819,12,70976,30023809,Social Security,398.41
202324,12,149125,10014523,Social Security,0
201819,12,107691,30089035,Social Security,0
201819,12,70556,30029155,Social Security,85.24
201819,12,85881,30036448,Social Security,37.47
201718,12,89557,30033492,Social Security,146.16
201819,12,137127,30036490,Social Security,73
202425,12,142561,30089593,Social Security,83.44
202122,12,87997,30038578,Social Security,162.57
201718,12,117809,30066807,Health Card,0
201819,12,91139,30031749,Social Security,236.05
201920,12,18251,10018150,Social Security,0
202021,12,106824,30099144,Health Card,0
202425,12,144701,10021171,Social Security,0
201819,12,91394,30038450,Health Card,192.98
201819,12,87692,30038271,Social Security,276.63
202122,12,148841,30096841,Health Card,21.93
202324,12,127351,10018385,Social Security,35.97
202223,12,146741,10016902,Social Security,0
202425,12,147249,30039430,Social Security,1.3
202223,12,103668,30101496,Health Card,0
202122,12,67353,30026046,Social Security,0
202324,12,32566,10001240,Social Security,0
202425,12,86526,30037099,Social Security,213.01
201920,12,142430,30026027,Social Security,173.64
202223,12,25842,30000842,Health Card,0
202425,12,85411,30035970,Social Security,175.96
202122,12,133477,30080419,Social Security,0
202122,12,129033,30099095,Social Security,397.41
202324,12,33654,10003750,Social Security,0
202324,12,17299,10017198,Social Security,0
201920,12,141883,30088815,Health Card,17.54
202425,12,138889,30099132,Social Security,5.52
201718,12,138220,30088695,Social Security,0
201718,12,104833,30038957,Social Security,421.01
201819,12,144034,30093406,Social Security,3.93
201920,12,87573,30038152,Health Card,205.97
202223,12,16847,10016746,Social Security,0
201819,12,116643,10016752,Social Security,0
201920,12,105436,30052484,Social Security,0
202223,12,121857,10016946,Social Security,98.01
202324,12,106747,30103607,Social Security,0
201819,12,88009,30038590,Social Security,174.97
201920,12,127707,30070101,Health Card,224.19
202122,12,92925,30037266,Health Card,0
201718,12,36325,30069915,Social Security,0
202425,12,101465,30102348,Social Security,3.73
202223,12,130407,30082645,Social Security,0
202324,12,90203,30036048,Social Security,193.46
201718,12,86541,30035757,Health Card,0
201920,12,139893,30088076,Social Security,0
201718,12,73947,30087674,Social Security,0
202021,12,87474,30038053,Social Security,0
202425,12,81003,30031312,Health Card,169.22
201819,12,31835,30015844,Social Security,154.99
201920,12,148910,30032195,Social Security,0
201920,12,112117,30062881,Social Security,0
202425,12,112555,10005942,Social Security,0
202122,12,137127,30036490,Social Security,53.78
201920,12,47948,30055123,Social Security,0
201718,12,135491,30087772,Social Security,0
202324,12,120341,30034982,Social Security,159.87
201718,12,112919,30084129,Health Card,0
202021,12,137549,30084346,Social Security,0
202021,12,92585,30036449,Social Security,0
202223,12,114652,30060302,Health Card,956.31
202324,12,138006,30087271,Social Security,0
202425,12,138839,30035909,Social Security,168.74
201920,12,37898,30005486,Social Security,161.98
201920,12,85877,30036444,Social Security,126.14
