pk_porg,pk_account,fk_financial_year
116,30007505,202425
120,10000019,202425
122,10000021,202425
123,10000022,202425
124,10005311,202425
143,30016130,202425
144,10000043,202425
203,10000102,202425
206,10000105,202425
212,10000111,202425
233,30059685,202425
248,10000147,202425
252,10000151,202425
253,10000152,202425
255,10000154,202425
258,10000157,202425
269,10000168,202425
282,10000181,202425
283,10000182,202425
288,10000187,202425
292,10000191,202425
304,10000203,202425
306,30066106,202425
312,10000211,202425
322,10000221,202425
360,10000259,202425
365,10000263,202425
366,10000265,202425
367,10000266,202425
368,10000267,202425
377,10000276,202425
380,10000279,202425
395,10000294,202425
399,10000298,202425
415,10000314,202425
417,10000316,202425
419,10000318,202425
464,10000363,202425
485,10000384,202425
492,10000391,202425
492,30036212,202425
492,30043467,202425
532,10000431,202425
550,10000449,202425
557,30090425,202425
565,10000464,202425
567,10000466,202425
569,10000468,202425
581,10000480,202425
583,10000482,202425
597,10000496,202425
598,10000497,202425
599,10000498,202425
607,10000506,202425
608,30011212,202425
611,10000510,202425
619,10000518,202425
630,30070039,202425
654,10000553,202425
656,10019535,202425
657,10000556,202425
684,10000583,202425
690,10000589,202425
693,10017428,202425
697,10000596,202425
704,10000603,202425
730,30075272,202425
732,30012770,202425
735,30070060,202425
741,10000640,202425
749,30091580,202425
773,10019748,202425
788,10000687,202425
792,10000691,202425
806,10000705,202425
829,10000728,202425
845,10000744,202425
854,10001885,202425
858,10010515,202425
867,10000766,202425
900,10000799,202425
910,10000809,202425
913,10000812,202425
914,10000813,202425
923,10000822,202425
927,10000826,202425
944,10015315,202425
944,10016524,202425
947,30050994,202425
949,10000848,202425
953,10005763,202425
970,10000869,202425
975,10000874,202425
976,10000875,202425
981,10000880,202425
982,10000881,202425
991,10000890,202425
995,10000894,202425
1005,10000904,202425
1009,10000908,202425
1014,10000913,202425
1021,10003330,202425
1033,10000932,202425
1048,10000947,202425
1061,10000960,202425
1073,10000972,202425
1075,10008461,202425
1083,10000982,202425
1102,10001002,202425
1146,30004037,202425
1156,30080697,202425
1170,30015399,202425
1172,30020195,202425
1173,10001072,202425
1184,10008192,202425
1204,10001103,202425
1212,10001111,202425
1226,10001125,202425
1233,10001132,202425
1234,10001133,202425
1241,30004867,202425
1264,10001163,202425
1271,10001170,202425
1273,10001172,202425
1274,10001173,202425
1279,30068641,202425
1280,30072388,202425
1281,10001180,202425
1291,10001189,202425
1298,10001197,202425
1302,30015374,202425
1305,10001204,202425
1333,10001232,202425
1344,10001243,202425
1366,10014172,202425
1375,10001274,202425
1385,10001284,202425
1397,10001296,202425
1419,10001318,202425
1420,10001319,202425
1456,10001355,202425
1457,10001356,202425
1465,10001364,202425
1485,10001384,202425
1500,30057201,202425
1513,10001412,202425
1534,30050074,202425
1560,10001459,202425
1563,10001462,202425
1565,10012116,202425
1568,10001467,202425
1570,30089809,202425
1571,30015534,202425
1587,10001486,202425
1588,30003970,202425
1590,10010139,202425
1594,10001493,202425
1597,10001496,202425
1632,10001531,202425
1646,10018442,202425
1656,10001555,202425
1659,10001558,202425
1668,10001567,202425
1673,10013462,202425
1673,30025105,202425
1673,30032822,202425
1678,10001577,202425
1695,10010592,202425
1705,10001604,202425
1707,30011470,202425
1735,10001634,202425
1737,10001636,202425
1795,10001694,202425
1802,10001701,202425
1803,10001702,202425
1804,10001703,202425
1812,10006515,202425
1815,10001714,202425
1821,10001720,202425
1821,10001722,202425
1834,30035936,202425
1836,30080261,202425
1840,10001739,202425
1872,10001771,202425
1877,30057610,202425
1891,10001790,202425
1893,10001792,202425
1899,10001798,202425
1903,10004364,202425
1926,10001825,202425
1932,30013602,202425
1934,10001833,202425
1939,10001838,202425
1958,10001857,202425
1968,10001867,202425
1991,30014618,202425
1996,10001895,202425
1998,10001897,202425
2018,10001917,202425
2023,10001922,202425
2036,10001935,202425
2080,10001979,202425
2091,10001990,202425
2103,10002002,202425
2107,30050700,202425
2113,10005098,202425
2115,10002014,202425
2118,10000477,202425
2121,10002020,202425
2122,10002021,202425
2123,30041495,202425
2131,10013601,202425
2154,10002053,202425
2156,10002055,202425
2161,10002060,202425
2169,30070096,202425
2175,10002074,202425
2186,10002085,202425
2197,10002096,202425
2227,30044181,202425
2235,10002134,202425
2237,10002136,202425
2240,10015174,202425
2247,10011960,202425
2261,10002160,202425
2262,10002161,202425
2263,30012766,202425
2264,10002163,202425
2283,10002182,202425
2289,10002188,202425
2292,10002191,202425
2319,30005704,202425
2334,10002233,202425
2360,10002258,202425
2374,10002273,202425
2392,10002291,202425
2402,10002301,202425
2415,30007791,202425
2441,10003036,202425
2445,30113185,202425
2449,10002348,202425
2450,10002349,202425
2460,10012056,202425
2466,10002365,202425
2474,10002373,202425
2491,10002390,202425
2505,10002404,202425
2510,10002409,202425
2540,10002439,202425
2541,10002440,202425
2550,10002449,202425
2557,10002456,202425
2559,10002458,202425
2563,10002462,202425
2584,10002483,202425
2627,10002526,202425
2628,10002527,202425
2631,10003721,202425
2650,10002549,202425
2676,10002575,202425
2678,10002577,202425
2685,10002584,202425
2687,10002586,202425
2688,10002587,202425
