property_no,description,debt_amount,event_description,event_datetime
740700850,Hamilton,97.32,URGs Application - Successful - FC2017/07266,27/07/2017
1543450600,Casterton,500,URGs Application - Successful - FC2017/07269,27/07/2017
5211730400,Dennington,500,URGs Application - Successful - FC2017/07271,27/07/2017
5211730400,Dennington,NULL,NULL,8/08/2017
444735200,Coleraine,NULL,URGs Application - Successful - FC2017/07959,16/08/2017
9133290200,Heywood,NULL,URGs Application - Successful - FC2017/07960,16/08/2017
4607860150,Simpson,500,URGs Application - Successful - FC2017/07961,16/08/2017
741040500,Hamilton,500,URGs Application - Successful - FC2017/08215,23/08/2017
743800200,Hamilton,500,URGs Application - Successful - FC2017/08217,23/08/2017
9333741850,Portland,422.12,URGs Application - Successful - FC2017/08222,23/08/2017
2202080100,Camperdown,NULL,URGs Application - Successful,30/08/2017
4804584800,Terang,NULL,URGs Application - Successful,30/08/2017
4810302700,Terang,NULL,URGs Application - Successful,30/08/2017
9333672550,Portland,NULL,URGs Application - Successful,30/08/2017
5207551500,Warrnambool,NULL,URGs Application - Successful,11/09/2017
5206950650,Warrnambool,500,URGs Application - Successful - FC2017/08830,11/09/2017
5200860200,Warrnambool,500,URGs Application - Successful - FC2017/08832,11/09/2017
5200331000,Warrnambool,NULL,URGs Application - Successful - FC2017/08833,11/09/2017
3002792650,Cobden,NULL,URGs Application - Successful -FC2017/08840,11/09/2017
2200491500,Camperdown,NULL,URGs Application - Successful - FC2017/08840,11/09/2017
5211731400,Dennington,NULL,URGs Application - Successful - FC2017/09090,18/09/2017
2203850450,Camperdown,NULL,URGs Application - Successful - FC2017/09092,18/09/2017
5212470785,Dennington,NULL,URGs Application - Successful - FC2017/09093,18/09/2017
9330271300,Portland,NULL,URGs Application - Successful - FC2017/09279,21/09/2017
743740400,Hamilton,500,URGs Application - Successful - FC2017/09745,5/10/2017
9332371550,Portland,475.5,URGs Application - Successful,6/10/2017
9133182500,Heywood,315.26,URGs Application - Successful,6/10/2017
3205063550,Koroit,500,URGs Application - Successful,6/10/2017
5210734000,Warrnambool,500,URGs Application - Successful,6/10/2017
9333253100,Portland,NULL,URGs Application - Successful - FC2017/09789,9/10/2017
