pk_account,amount,urgs_application_status,evt_datetime
30038843,500,URGs Application - Successful - FC2017/07269,27/07/2017
30037503,NULL,URGs Application - Successful - FC2017/07959,16/08/2017
30018280,NULL,URGs Application - Successful - FC2017/07960,16/08/2017
30082945,500,URGs Application - Successful - FC2017/07961,16/08/2017
30035451,500,URGs Application - Successful - FC2017/08215,23/08/2017
30079599,500,URGs Application - Successful - FC2017/08217,23/08/2017
30084188,422.12,URGs Application - Successful - FC2017/08222,23/08/2017
10021020,NULL,URGs Application - Successful,30/08/2017
10015036,NULL,URGs Application - Successful,30/08/2017
30058908,NULL,URGs Application - Successful,30/08/2017
10005835,NULL,URGs Application - Successful,11/09/2017
30067703,500,URGs Application - Successful - FC2017/08832,11/09/2017
30067607,NULL,URGs Application - Successful - FC2017/08833,11/09/2017
30086045,NULL,URGs Application - Successful -FC2017/08840,11/09/2017
10020773,NULL,URGs Application - Successful - FC2017/08840,11/09/2017
30078090,NULL,URGs Application - Successful - FC2017/09090,18/09/2017
30082295,NULL,URGs Application - Successful - FC2017/09092,18/09/2017
30083777,NULL,URGs Application - Successful - FC2017/09093,18/09/2017
30076116,NULL,URGs Application - Successful - FC2017/09279,21/09/2017
30086136,475.5,URGs Application - Successful,6/10/2017
30018228,315.26,URGs Application - Successful,6/10/2017
10018212,500,URGs Application - Successful,6/10/2017
30084482,500,URGs Application - Successful,6/10/2017
30079724,NULL,URGs Application - Successful - FC2017/09789,9/10/2017
30035003,370.15,URGs Application - Successful - FC2017/09923,11/10/2017
10005315,190.78,URGs Application - Successful - FC2017/10173,18/10/2017
30036192,NULL,URGs Application - Successful - FC2017/10212,19/10/2017
30035441,500,URGs Application - Successful,20/10/2017
30085355,265.72,URGs Application - Successful,25/10/2017
30083114,409.1,URGs Application - Successful,25/10/2017
30032367,254.84,URGs Application - Successful,1/11/2017
30073432,190.58,URGs Application - Successful,1/11/2017
10004491,322.6,URGs Application - Successful,1/11/2017
30006969,186.76,URGs Application - Successful,1/11/2017
10011347,500,URGs Application - Successful -FC2017/11605,16/11/2017
30023761,500,URGs Application - Successful,5/12/2017
10014804,500,URGs Application - Successful,5/12/2017
10016521,481.68,URGs Application - Successful,12/12/2017
30051829,NULL,URGs Application - Successful,12/12/2017
10002015,NULL,URGs Application - Successful,18/12/2017
30078127,151.48,URGs Application - Successful,18/12/2017
30018310,253.76,URGs Application - Successful,18/12/2017
30019082,498.73,URGs Application - Successful,10/01/2018
30003970,500,URGs Application - Successful,10/01/2018
30071177,500,URGs Application - Successful - FC2018/00610,23/01/2018
30086335,198.11,URGs Application - Successful - FC2018/00612,23/01/2018
30028739,269.83,URGs Application - Successful,15/02/2018
10011773,500,URGs Application - Successful,27/02/2018
30062706,500,URGs Application - Successful - FC2018/02601,16/03/2018
30065032,NULL,URGs Application - Successful - FC2018/02678,19/03/2018
30018090,NULL,URGs Application - Successful - FC2018/02682,19/03/2018
30017920,NULL,URGs Application - Successful - FC2018/02684,19/03/2018
30080495,500,URGs Application - Successful - FC2018/02812,21/03/2018
30079666,NULL,URGs Application - Successful - FC2018/03020,26/03/2018
10004311,NULL,URGs Application - Successful,26/03/2018
30085911,442.08,URGs Application - Successful,26/03/2018
